date,home_team,away_team,home_score,away_score,tournament,stage,home_team_xg,away_team_xg,home_yellow_cards,away_yellow_cards
1/13/2024,Ivory Coast,Guinea-Bissau,2,0,AFCON 2023,Group A,2.3,0.5,2,1
1/14/2024,Nigeria,Equatorial Guinea,1,1,AFCON 2023,Group A,1.4,1.2,1,2
1/14/2024,Egypt,Mozambique,2,2,AFCON 2023,Group B,1.8,0.7,2,3
1/14/2024,Ghana,Cape Verde,1,2,AFCON 2023,Group B,1.3,2.4,3,2
1/15/2024,Senegal,Gambia,3,0,AFCON 2023,Group C,2.6,0.8,1,2
1/15/2024,Cameroon,Guinea,1,1,AFCON 2023,Group C,1.2,1.1,2,2
1/15/2024,Algeria,Angola,1,2,AFCON 2023,Group D,1.6,2.1,2,3
1/16/2024,Burkina Faso,Mauritania,1,0,AFCON 2023,Group D,1,0.8,1,1
1/16/2024,Tunisia,Namibia,0,0,AFCON 2023,Group E,0.8,0.5,2,1
1/16/2024,Mali,South Africa,2,0,AFCON 2023,Group E,2.3,0.6,1,2
1/17/2024,Morocco,Tanzania,3,0,AFCON 2023,Group F,2.6,0.5,1,1
1/17/2024,DR Congo,Zambia,1,1,AFCON 2023,Group F,1.4,0.8,2,2
1/18/2024,Equatorial Guinea,Guinea-Bissau,4,2,AFCON 2023,Group A,3.6,1.8,3,4
1/18/2024,Ivory Coast,Nigeria,0,1,AFCON 2023,Group A,0.9,1.6,2,1
1/18/2024,Egypt,Ghana,2,2,AFCON 2023,Group B,1.5,1.2,3,3
1/19/2024,Cape Verde,Mozambique,3,0,AFCON 2023,Group B,2.7,1.1,2,2
1/19/2024,Senegal,Cameroon,3,1,AFCON 2023,Group C,2.4,1.4,2,4
1/19/2024,Guinea,Gambia,1,0,AFCON 2023,Group C,1.3,0.9,1,2
1/20/2024,Algeria,Burkina Faso,2,2,AFCON 2023,Group D,1.8,1.5,3,2
1/20/2024,Mauritania,Angola,0,1,AFCON 2023,Group D,0.9,1.2,2,1
1/20/2024,Tunisia,Mali,1,1,AFCON 2023,Group E,1.2,1.1,2,2
1/21/2024,South Africa,Namibia,4,0,AFCON 2023,Group E,3.8,0.7,1,2
1/21/2024,Morocco,DR Congo,1,1,AFCON 2023,Group F,1.2,1.1,2,3
1/21/2024,Zambia,Tanzania,1,1,AFCON 2023,Group F,1.3,0.7,1,2
1/22/2024,Equatorial Guinea,Ivory Coast,4,0,AFCON 2023,Group A,3.2,0.6,2,3
1/22/2024,Guinea-Bissau,Nigeria,0,1,AFCON 2023,Group A,0.5,1.3,2,1
1/22/2024,Mozambique,Ghana,2,2,AFCON 2023,Group B,1.8,1.5,3,3
1/22/2024,Cape Verde,Egypt,2,1,AFCON 2023,Group B,2.3,1.6,2,4
1/23/2024,Guinea,Senegal,0,2,AFCON 2023,Group C,0.6,1.9,2,1
1/23/2024,Gambia,Cameroon,2,3,AFCON 2023,Group C,2.5,3.1,3,2
1/23/2024,Angola,Burkina Faso,2,0,AFCON 2023,Group D,1.8,0.9,2,2
1/23/2024,Mauritania,Algeria,1,0,AFCON 2023,Group D,1.4,1.1,3,2
1/24/2024,South Africa,Tunisia,0,0,AFCON 2023,Group E,0.9,0.6,2,2
1/24/2024,Namibia,Mali,0,1,AFCON 2023,Group E,0.5,0.9,1,1
1/24/2024,Tanzania,DR Congo,0,0,AFCON 2023,Group F,0.6,1.5,2,3
1/24/2024,Zambia,Morocco,0,1,AFCON 2023,Group F,0.7,1.4,2,1
1/27/2024,Angola,Namibia,3,0,AFCON 2023,Round of 16,2.8,0.6,2,1
1/27/2024,Nigeria,Cameroon,2,0,AFCON 2023,Round of 16,1.7,0.8,2,3
1/28/2024,Equatorial Guinea,Guinea,0,1,AFCON 2023,Round of 16,0.6,1.3,3,2
1/28/2024,Egypt,DR Congo,1,1,AFCON 2023,Round of 16,1.4,1.5,4,3
1/29/2024,Cape Verde,Mauritania,1,0,AFCON 2023,Round of 16,1.5,0.7,2,2
1/29/2024,Senegal,Ivory Coast,1,1,AFCON 2023,Round of 16,1.6,1.5,3,4
1/30/2024,Mali,Burkina Faso,2,1,AFCON 2023,Round of 16,2.2,1.4,2,3
1/30/2024,Morocco,South Africa,0,2,AFCON 2023,Round of 16,0.8,2.1,2,2
2/2/2024,Nigeria,Angola,1,0,AFCON 2023,Quarter-final,1.4,0.6,3,2
2/2/2024,DR Congo,Guinea,3,1,AFCON 2023,Quarter-final,2.7,1.3,2,3
2/3/2024,Mali,Ivory Coast,1,2,AFCON 2023,Quarter-final,1.3,1.8,3,2
2/3/2024,Cape Verde,South Africa,0,0,AFCON 2023,Quarter-final,0.9,0.8,2,3
2/7/2024,Nigeria,South Africa,1,1,AFCON 2023,Semi-final,1.4,1.3,3,3
2/7/2024,Ivory Coast,DR Congo,1,0,AFCON 2023,Semi-final,1.6,0.8,2,2
2/10/2024,South Africa,DR Congo,0,0,AFCON 2023,3rd Place,2,2,1,2
2/11/2024,Nigeria,Ivory Coast,1,2,AFCON 2023,Final,1.3,2.2,3,4
