Team,Qualification_Method,Confederation,FIFA_Rank_Nov2025,Status
United States,Host,CONCACAF,15,Qualified
Canada,Host,CONCACAF,33,Qualified
Mexico,Host,CONCACAF,13,Qualified
Spain,UEFA Group Winner,UEFA,1,Qualified
England,UEFA Group Winner,UEFA,4,Qualified
France,UEFA Group Winner,UEFA,3,Qualified
Portugal,UEFA Group Winner,UEFA,5,Qualified
Germany,UEFA Group Winner,UEFA,10,Qualified
Netherlands,UEFA Group Winner,UEFA,7,Qualified
Croatia,UEFA Group Winner,UEFA,11,Qualified
Norway,UEFA Group Winner,UEFA,9,Qualified
Switzerland,UEFA Group Winner,UEFA,14,Qualified
Austria,UEFA Group Winner,UEFA,21,Qualified
Belgium,UEFA Group Winner,UEFA,8,Qualified
Scotland,UEFA Group Winner,UEFA,49,Qualified
Italy,UEFA Playoff (Predicted),UEFA,12,Playoff
Denmark,UEFA Playoff (Predicted),UEFA,19,Playoff
Turkey,UEFA Playoff (Predicted),UEFA,24,Playoff
Poland,UEFA Playoff (Predicted),UEFA,28,Playoff
Argentina,CONMEBOL Top 6,CONMEBOL,2,Qualified
Brazil,CONMEBOL Top 6,CONMEBOL,6,Qualified
Colombia,CONMEBOL Top 6,CONMEBOL,14,Qualified
Uruguay,CONMEBOL Top 6,CONMEBOL,17,Qualified
Ecuador,CONMEBOL Top 6,CONMEBOL,29,Qualified
Paraguay,CONMEBOL Top 6,CONMEBOL,56,Qualified
Japan,AFC Direct,AFC,16,Qualified
South Korea,AFC Direct,AFC,22,Qualified
Iran,AFC Direct,AFC,20,Qualified
Australia,AFC Direct,AFC,23,Qualified
Saudi Arabia,AFC Direct,AFC,54,Qualified
Qatar,AFC Direct,AFC,37,Qualified
Uzbekistan,AFC Direct,AFC,66,Qualified
Jordan,AFC Direct,AFC,67,Qualified
Morocco,CAF Direct,CAF,12,Qualified
Egypt,CAF Direct,CAF,32,Qualified
Senegal,CAF Direct,CAF,18,Qualified
Algeria,CAF Direct,CAF,36,Qualified
Tunisia,CAF Direct,CAF,41,Qualified
Ivory Coast,CAF Direct,CAF,45,Qualified
Ghana,CAF Direct,CAF,60,Qualified
South Africa,CAF Direct,CAF,58,Qualified
Cape Verde,CAF Direct,CAF,68,Qualified
Panama,CONCACAF Group Winner,CONCACAF,52,Qualified
Haiti,CONCACAF Group Winner,CONCACAF,87,Qualified
Curacao,CONCACAF Group Winner,CONCACAF,84,Qualified
New Zealand,OFC Winner,OFC,93,Qualified
Iraq,Intercontinental Playoff (Predicted),AFC,57,Playoff
DR Congo,Intercontinental Playoff (Predicted),CAF,47,Playoff
