,total_matches,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,goal_diff_per_match,xg_for,xg_against,avg_xg_for,avg_xg_against,xg_diff_per_match,xg_overperf,yellow_cards,avg_yellow_cards,clean_sheets,clean_sheet_rate
qatar,11,6,2,3,0.5454545454545454,0.18181818181818182,0.2727272727272727,18,13,1.6363636363636365,1.1818181818181819,0.4545454545454546,17.95,13.57,1.6318181818181818,1.2336363636363636,0.3981818181818182,0.00454545454545461,24,2.1818181818181817,3,0.2727272727272727
ecuador,7,2,3,2,0.2857142857142857,0.42857142857142855,0.2857142857142857,9,7,1.2857142857142858,1.0,0.2857142857142858,9.239999999999998,6.88,1.3199999999999998,0.9828571428571429,0.33714285714285697,-0.034285714285714065,9,1.2857142857142858,2,0.2857142857142857
england,12,6,4,2,0.5,0.3333333333333333,0.16666666666666666,21,10,1.75,0.8333333333333334,0.9166666666666666,14.860000000000001,11.08,1.2383333333333335,0.9233333333333333,0.31500000000000017,0.5116666666666666,16,1.3333333333333333,5,0.4166666666666667
iran,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,16,13,1.7777777777777777,1.4444444444444444,0.33333333333333326,16.6,11.700000000000001,1.8444444444444446,1.3,0.5444444444444445,-0.06666666666666682,19,2.111111111111111,3,0.3333333333333333
senegal,8,5,1,2,0.625,0.125,0.25,14,9,1.75,1.125,0.625,13.1,7.9,1.6375,0.9875,0.6499999999999999,0.11250000000000004,14,1.75,2,0.25
netherlands,11,6,3,2,0.5454545454545454,0.2727272727272727,0.18181818181818182,20,11,1.8181818181818181,1.0,0.8181818181818181,12.92,12.64,1.1745454545454546,1.1490909090909092,0.025454545454545396,0.6436363636363637,12,1.0909090909090908,4,0.36363636363636365
united states,13,6,3,4,0.46153846153846156,0.23076923076923078,0.3076923076923077,19,13,1.4615384615384615,1.0,0.46153846153846145,17.26,13.16,1.3276923076923077,1.0123076923076924,0.3153846153846154,0.13384615384615373,22,1.6923076923076923,5,0.38461538461538464
wales,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,1,6,0.3333333333333333,2.0,-1.6666666666666667,2.7,4.6,0.9,1.5333333333333332,-0.6333333333333332,-0.5666666666666668,4,1.3333333333333333,0,0.0
argentina,11,7,3,1,0.6363636363636364,0.2727272727272727,0.09090909090909091,21,9,1.9090909090909092,0.8181818181818182,1.0909090909090908,24.0,7.75,2.1818181818181817,0.7045454545454546,1.477272727272727,-0.2727272727272727,8,0.7272727272727273,6,0.5454545454545454
saudi arabia,11,5,2,4,0.45454545454545453,0.18181818181818182,0.36363636363636365,12,12,1.0909090909090908,1.0909090909090908,0.0,13.71,15.370000000000001,1.2463636363636363,1.3972727272727274,-0.1509090909090911,-0.15545454545454554,30,2.727272727272727,2,0.18181818181818182
denmark,7,0,4,3,0.0,0.5714285714285714,0.42857142857142855,3,7,0.42857142857142855,1.0,-0.5714285714285714,6.93,8.74,0.99,1.2485714285714287,-0.2585714285714287,-0.5614285714285714,14,2.0,2,0.2857142857142857
tunisia,6,1,4,1,0.16666666666666666,0.6666666666666666,0.16666666666666666,2,2,0.3333333333333333,0.3333333333333333,0.0,4.9,5.3,0.8166666666666668,0.8833333333333333,-0.06666666666666654,-0.4833333333333334,13,2.1666666666666665,4,0.6666666666666666
mexico,12,7,3,2,0.5833333333333334,0.25,0.16666666666666666,13,7,1.0833333333333333,0.5833333333333334,0.4999999999999999,17.79,8.73,1.4825,0.7275,0.7549999999999999,-0.3991666666666666,29,2.4166666666666665,7,0.5833333333333334
poland,7,1,2,4,0.14285714285714285,0.2857142857142857,0.5714285714285714,6,11,0.8571428571428571,1.5714285714285714,-0.7142857142857143,8.66,13.209999999999999,1.237142857142857,1.887142857142857,-0.6499999999999999,-0.38,17,2.4285714285714284,2,0.2857142857142857
france,13,7,4,2,0.5384615384615384,0.3076923076923077,0.15384615384615385,20,11,1.5384615384615385,0.8461538461538461,0.6923076923076924,22.78,15.11,1.7523076923076923,1.1623076923076923,0.5900000000000001,-0.21384615384615394,17,1.3076923076923077,5,0.38461538461538464
australia,9,5,1,3,0.5555555555555556,0.1111111111111111,0.3333333333333333,14,9,1.5555555555555556,1.0,0.5555555555555556,13.0,12.2,1.4444444444444444,1.3555555555555554,0.08888888888888902,0.1111111111111111,18,2.0,5,0.5555555555555556
morocco,11,5,3,3,0.45454545454545453,0.2727272727272727,0.2727272727272727,11,8,1.0,0.7272727272727273,0.2727272727272727,12.6,11.8,1.1454545454545455,1.0727272727272728,0.07272727272727275,-0.14545454545454542,16,1.4545454545454546,6,0.5454545454545454
croatia,10,2,6,2,0.2,0.6,0.2,11,13,1.1,1.3,-0.19999999999999996,13.549999999999999,15.370000000000001,1.355,1.5370000000000001,-0.18200000000000016,-0.2549999999999999,24,2.4,2,0.2
germany,8,4,2,2,0.5,0.25,0.25,17,9,2.125,1.125,1.0,19.94,7.79,2.4925,0.97375,1.5187500000000003,-0.36750000000000016,15,1.875,2,0.25
japan,9,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222,19,11,2.111111111111111,1.2222222222222223,0.8888888888888888,18.4,13.0,2.0444444444444443,1.4444444444444444,0.5999999999999999,0.06666666666666682,17,1.8888888888888888,0,0.0
spain,11,8,2,1,0.7272727272727273,0.18181818181818182,0.09090909090909091,24,7,2.1818181818181817,0.6363636363636364,1.5454545454545454,18.93,10.469999999999999,1.720909090909091,0.9518181818181817,0.7690909090909093,0.46090909090909093,17,1.5454545454545454,5,0.45454545454545453
costa rica,8,2,3,3,0.25,0.375,0.375,7,17,0.875,2.125,-1.25,3.37,19.240000000000002,0.42125,2.4050000000000002,-1.9837500000000001,0.45375,20,2.5,3,0.375
